Name file	n. of events	% anomalies	analysis from	% anomalies flow Rate	% anomalies Signal	% anomalies Margins
0	140790	7.34	Flow Rate, Flow Signal and Flow Margin	7.26	0	0.1
0	140790	7.34	Flow Rate, Flow Signal and Flow Margin	7.26	0	0.1
0	140790	7.34	Flow Rate, Flow Signal and Flow Margin	7.26	0	0.1
0	140790	7.34	Flow Rate, Flow Signal and Flow Margin	7.26	0	0.1
0	140790	7.34	Flow Rate, Flow Signal and Flow Margin	7.26	0	0.1
0	140790	7.34	Flow Rate, Flow Signal and Flow Margin	7.26	0	0.1
0	140790	7.34	Flow Rate, Flow Signal and Flow Margin	7.26	0	0.1
0	140790	7.34	Flow Rate, Flow Signal and Flow Margin	7.26	0	0.1
0	140790	7.34	Flow Rate, Flow Signal and Flow Margin	7.26	0	0.1
0	140790	7.34	Flow Rate, Flow Signal and Flow Margin	7.26	0	0.1
0	140790	7.34	Flow Rate, Flow Signal and Flow Margin	7.26	0	0.1
0	140790	7.34	Flow Rate, Flow Signal and Flow Margin	7.26	0	0.1
0	140790	7.34	Flow Rate, Flow Signal and Flow Margin	7.26	0	0.1
1	125194	4.94	Flow Rate, Flow Signal and Flow Margin	4.85	0	0.09
2	124133	7.15	Flow Rate, Flow Signal and Flow Margin	7.09	0	0.07
3	153931	7.46	Flow Rate, Flow Signal and Flow Margin	7.43	0	0.1
4	138914	14.24	Flow Rate, Flow Signal and Flow Margin	14.23	0	0.08
5	140930	4.45	Flow Rate, Flow Signal and Flow Margin	4.42	0	0.03
0	140790	7.34	Flow Rate, Flow Signal and Flow Margin	7.26	0	0.1
0	140790	7.34	Flow Rate, Flow Signal and Flow Margin	7.26	0	0.1
0	140790	7.34	Flow Rate, Flow Signal and Flow Margin	7.26	0	0.1
1	125194	4.94	Flow Rate, Flow Signal and Flow Margin	4.85	0	0.09
2	153931	7.46	Flow Rate, Flow Signal and Flow Margin	7.43	0	0.1
3	138914	14.24	Flow Rate, Flow Signal and Flow Margin	14.23	0	0.08
0	140790	7.34	Flow Rate, Flow Signal and Flow Margin	7.26	0	0.1
1	125194	4.94	Flow Rate, Flow Signal and Flow Margin	4.85	0	0.09
2	153931	7.46	Flow Rate, Flow Signal and Flow Margin	7.43	0	0.1
3	138914	14.24	Flow Rate, Flow Signal and Flow Margin	14.23	0	0.08
